model_name,sequence_length,conc,costh_roof,costh_y,costn_roof,costn_y,costr_roof,costr_y,hwKey,precision,tp,tpPerGpu_roof,tpPerGpu_y,tpPerMw_roof,tpPerMw_y,x,y
gpt-oss 120B,1k-8k,64,True,0.313,True,0.388,True,0.44,mi325x,fp4,8,True,1136.969,True,521545.514,130.049,1136.969
gpt-oss 120B,1k-8k,8,False,0.345,False,0.428,False,0.485,mi325x,fp4,1,False,1031.522,False,473175.005,118.1,1031.522
gpt-oss 120B,1k-8k,32,True,0.215,True,0.267,True,0.303,mi325x,fp4,2,True,1652.751,True,758142.811,94.144,1652.751
gpt-oss 120B,1k-8k,16,False,0.635,False,0.789,False,0.893,mi325x,fp4,4,False,560.005,False,256883.029,127.37,560.005
gpt-oss 120B,1k-8k,8,True,1.545,True,1.919,True,2.173,mi325x,fp4,8,True,230.114,True,105556.754,210.982,230.114
gpt-oss 120B,1k-8k,32,True,0.528,True,0.656,True,0.742,mi325x,fp4,8,True,673.566,True,308975.091,154.516,673.566
gpt-oss 120B,1k-8k,4,True,2.864,True,3.558,True,4.028,mi325x,fp4,8,True,124.127,True,56939.166,224.802,124.127
gpt-oss 120B,1k-8k,64,True,0.215,True,0.268,True,0.303,mi325x,fp4,4,True,1651.042,True,757358.772,94.277,1651.042
gpt-oss 120B,1k-8k,4,False,0.868,False,1.079,False,1.221,mi325x,fp4,2,False,409.437,False,187815.069,184.862,409.437
gpt-oss 120B,1k-8k,16,False,0.862,False,1.07,False,1.212,mi325x,fp4,8,False,412.641,False,189285.031,190.093,412.641
gpt-oss 120B,1k-8k,32,True,0.28,True,0.336,True,0.416,b200,fp4,4,True,1936.502,True,892397.165,221.269,1936.502
gpt-oss 120B,1k-8k,8,False,0.301,False,0.361,False,0.447,b200,fp4,1,False,1801.807,False,830325.972,204.515,1801.807
gpt-oss 120B,1k-8k,8,False,1.658,False,1.99,False,2.466,b200,fp4,8,False,326.701,False,150553.439,300.092,326.701
gpt-oss 120B,1k-8k,4,False,0.49,False,0.588,False,0.729,b200,fp4,1,False,1105.458,False,509427.543,250.095,1105.458
gpt-oss 120B,1k-8k,32,False,0.177,False,0.213,False,0.264,b200,fp4,2,False,3055.002,False,1407835.147,174.36,3055.002
gpt-oss 120B,1k-8k,32,False,0.125,False,0.15,False,0.186,b200,fp4,1,False,4330.156,False,1995463.755,122.017,4330.156
gpt-oss 120B,1k-8k,16,False,0.982,False,1.178,False,1.46,b200,fp4,8,False,551.791,False,254281.612,252.084,551.791
gpt-oss 120B,1k-8k,4,True,3.011,True,3.613,True,4.478,b200,fp4,8,True,179.883,True,82895.506,324.28,179.883
gpt-oss 120B,1k-8k,64,True,0.087,True,0.104,True,0.129,b200,fp4,1,True,6228.689,True,2870363.569,88.75,6228.689
gpt-oss 120B,1k-8k,4,False,0.867,False,1.04,False,1.289,b200,fp4,2,False,624.934,False,287988.162,279.129,624.934
gpt-oss 120B,1k-8k,16,True,0.489,True,0.586,True,0.727,b200,fp4,4,True,1108.296,True,510735.321,252.084,1108.296
gpt-oss 120B,1k-8k,64,False,0.335,False,0.402,False,0.499,b200,fp4,8,False,1615.377,False,744413.502,184.852,1615.377
gpt-oss 120B,1k-8k,32,False,0.547,False,0.657,False,0.814,b200,fp4,8,False,990.061,False,456249.239,226.321,990.061
