model_name,sequence_length,conc,costh_roof,costh_y,costn_roof,costn_y,costr_roof,costr_y,hwKey,precision,tp,tpPerGpu_roof,tpPerGpu_y,tpPerMw_roof,tpPerMw_y,x,y
gpt-oss 120B,1k-1k,8,False,0.937,False,1.163,False,1.317,mi325x,fp4,8,False,379.662,False,174156.659,4.624,379.662
gpt-oss 120B,1k-1k,4,True,0.877,True,1.09,True,1.234,mi325x,fp4,4,True,405.2,True,185871.394,4.392,405.2
gpt-oss 120B,1k-1k,16,True,0.3,True,0.373,True,0.423,mi325x,fp4,4,True,1183.388,True,542838.314,5.99,1183.388
gpt-oss 120B,1k-1k,32,False,0.332,False,0.412,False,0.467,mi325x,fp4,8,False,1071.451,False,491491.187,6.469,1071.451
gpt-oss 120B,1k-1k,4,False,0.583,False,0.758,False,0.583,h100,fp4,2,False,619.314,False,357985.012,5.844,619.314
gpt-oss 120B,1k-1k,8,False,0.353,False,0.458,False,0.353,h100,fp4,2,False,1024.374,False,592123.529,7.143,1024.374
gpt-oss 120B,1k-1k,16,True,0.331,True,0.43,True,0.331,h100,fp4,4,True,1092,True,631213.759,6.622,1092
gpt-oss 120B,1k-1k,4,True,0.956,True,1.242,True,0.956,h100,fp4,4,True,377.905,True,218442.115,4.763,377.905
gpt-oss 120B,1k-1k,16,True,0.556,True,0.723,True,0.556,h100,fp4,8,True,649.268,True,375299.402,5.531,649.268
gpt-oss 120B,1k-1k,32,True,0.21,True,0.273,True,0.21,h100,fp4,4,True,1722.25,True,995520.322,8.337,1722.25
gpt-oss 120B,1k-1k,64,True,0.1,True,0.13,True,0.1,h100,fp4,2,True,3617.772,True,2091197.603,16.024,3617.772
gpt-oss 120B,1k-1k,64,False,0.223,False,0.29,False,0.223,h100,fp4,8,False,1621.199,False,937109.455,8.855,1621.199
gpt-oss 120B,1k-1k,4,True,1.754,True,2.28,True,1.754,h100,fp4,8,True,205.911,True,119023.925,4.393,205.911
gpt-oss 120B,1k-1k,8,False,0.961,False,1.249,False,0.961,h100,fp4,8,False,375.771,False,217208.87,4.807,375.771
gpt-oss 120B,1k-1k,32,False,0.34,False,0.442,False,0.34,h100,fp4,8,False,1061.66,False,613676.23,6.765,1061.66
